Jenny C program,9000000001,jenny2@gmail.com
Jessie PinkMan,9123412345,partner_of_heisenberg@gmail.com
Jon Snow,9876543211,king_in_the_north@gmail.com
Levi Ackerman,9876543218,humanitysstrongest@gmail.com
Mikasa,9898989898,eren@gmail.com
Moms little princess,9191919191,dadslittlequeen12@gmail.com
Monkey D Luffy,9876543212,kingofthepirates@gmail.com
Naruto Uzumaki,9876543215,hokage@gmail.com
Rock Xe Debec,9888828282,king@gmail.com
Roronoa Zoro,9876543213,piratehunter@gmail.com
Sasuke Uchiha,9876543216,lastuchiha@gmail.com
Saul Goodman,9876543217,bettercallsaul@gmail.com
Tony Stark,9876543219,ironman@gmail.com
Vinsmoke Sanji,9876543214,blackleg@gmail.com
Walter White,9876543210,heisenberg@gmail.com
